ts,temperature,humidity,rain,event_type,ap_id,connected_devices,internet_speed,connection_drops,network_delay
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,AP_B03_02,30,46.7,0.08,29.0
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,AP_B02_01,21,35.6,0.04,25.2
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,AP_B02_02,18,29.4,0.03,21.5
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,AP_B03_01,25,41.5,0.06,25.5
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,AP_B01_01,24,40.6,0.05,23.5
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,AP_B04_02,26,42.0,0.06,26.6
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,AP_B01_02,24,39.0,0.05,27.4
2026-02-15 12:00:00+00:00,36.9,39.8,0.0,normal,AP_B04_01,27,40.6,0.06,29.2
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,AP_B08_01,14,21.6,0.02,21.0
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,AP_B03_01,26,41.1,0.06,28.9
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,AP_B01_01,34,54.0,0.1,26.6
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,AP_B07_01,24,40.5,0.05,19.8
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,AP_B06_01,16,26.9,0.02,24.0
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,AP_B03_02,21,34.1,0.04,27.1
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,AP_B05_01,18,27.1,0.03,24.4
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,AP_B04_02,39,61.5,0.14,28.0
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,AP_B04_01,47,73.8,0.2,34.4
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,AP_B08_02,28,43.6,0.07,28.8
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,AP_B02_01,17,30.2,0.03,22.0
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,AP_B01_02,17,28.3,0.03,22.7
2026-02-15 13:00:00+00:00,36.1,33.3,0.0,normal,AP_B02_02,23,37.2,0.05,23.7
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,AP_B08_02,8,12.6,0.01,16.9
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,AP_B06_01,18,30.8,0.03,26.1
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,AP_B04_01,56,88.1,0.28,30.9
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,AP_B02_02,30,49.9,0.08,21.6
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,AP_B01_01,31,47.8,0.09,24.6
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,AP_B07_01,25,38.5,0.06,25.1
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,AP_B01_02,25,39.2,0.06,28.1
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,AP_B03_01,27,43.5,0.06,24.0
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,AP_B08_01,15,22.6,0.02,21.6
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,AP_B02_01,23,36.6,0.05,26.9
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,AP_B04_02,64,100.6,0.36,36.6
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,AP_B05_01,4,9.3,0.0,20.7
2026-02-15 14:00:00+00:00,36.3,31.0,0.0,normal,AP_B03_02,19,32.1,0.03,22.6
2026-02-15 15:00:00+00:00,33.0,45.2,0.0,normal,AP_B07_01,20,33.1,0.04,22.7
2026-02-15 15:00:00+00:00,33.0,45.2,0.0,normal,AP_B04_02,77,120.1,0.53,43.7
2026-02-15 15:00:00+00:00,33.0,45.2,0.0,normal,AP_B03_01,27,42.0,0.06,29.4
2026-02-15 15:00:00+00:00,33.0,45.2,0.0,normal,AP_B03_02,26,39.8,0.06,25.0
2026-02-15 15:00:00+00:00,33.0,45.2,0.0,normal,AP_B06_01,17,25.6,0.03,24.8
2026-02-15 15:00:00+00:00,33.0,45.2,0.0,normal,AP_B01_01,13,23.8,0.02,17.8
2026-02-15 15:00:00+00:00,33.0,45.2,0.0,normal,AP_B05_01,21,33.5,0.04,24.5
2026-02-15 15:00:00+00:00,33.0,45.2,0.0,normal,AP_B02_01,19,30.5,0.03,22.1
2026-02-15 15:00:00+00:00,33.0,45.2,0.0,normal,AP_B08_01,17,30.0,0.03,20.9
2026-02-15 15:00:00+00:00,33.0,45.2,0.0,normal,AP_B01_02,15,22.5,0.02,21.3
2026-02-15 15:00:00+00:00,33.0,45.2,0.0,normal,AP_B02_02,16,26.8,0.02,24.3
2026-02-15 15:00:00+00:00,33.0,45.2,0.0,normal,AP_B08_02,11,18.8,0.01,22.8
2026-02-15 15:00:00+00:00,33.0,45.2,0.0,normal,AP_B04_01,87,130.9,0.67,42.5
2026-02-15 16:00:00+00:00,37.7,25.9,0.0,normal,AP_B03_02,15,26.4,0.02,25.7
2026-02-15 16:00:00+00:00,37.7,25.9,0.0,normal,AP_B08_02,14,25.2,0.02,20.9
2026-02-15 16:00:00+00:00,37.7,25.9,0.0,normal,AP_B05_01,26,41.8,0.06,30.2
2026-02-15 16:00:00+00:00,37.7,25.9,0.0,normal,AP_B01_02,18,28.3,0.03,24.5
2026-02-15 16:00:00+00:00,37.7,25.9,0.0,normal,AP_B04_02,115,174.1,1.18,49.7
2026-02-15 16:00:00+00:00,37.7,25.9,0.0,normal,AP_B02_02,15,23.6,0.02,20.9
2026-02-15 16:00:00+00:00,37.7,25.9,0.0,normal,AP_B08_01,10,16.9,0.01,17.2
2026-02-15 16:00:00+00:00,37.7,25.9,0.0,normal,AP_B02_01,24,39.2,0.05,24.6
2026-02-15 16:00:00+00:00,37.7,25.9,0.0,normal,AP_B07_01,20,31.3,0.04,25.3
2026-02-15 16:00:00+00:00,37.7,25.9,0.0,normal,AP_B01_01,19,29.6,0.03,20.9
2026-02-15 16:00:00+00:00,37.7,25.9,0.0,normal,AP_B04_01,103,155.8,0.94,47.7
2026-02-15 16:00:00+00:00,37.7,25.9,0.0,normal,AP_B03_01,17,25.8,0.03,23.8
2026-02-15 16:00:00+00:00,37.7,25.9,0.0,normal,AP_B06_01,28,44.7,0.07,25.8
2026-02-15 17:00:00+00:00,35.0,33.8,0.0,normal,AP_B04_01,121,183.1,1.3,52.8
2026-02-15 17:00:00+00:00,35.0,33.8,0.0,normal,AP_B05_01,29,47.3,0.07,27.9
2026-02-15 17:00:00+00:00,35.0,33.8,0.0,normal,AP_B01_02,6,10.5,0.0,18.5
2026-02-15 17:00:00+00:00,35.0,33.8,0.0,normal,AP_B08_01,15,25.0,0.02,20.9
2026-02-15 17:00:00+00:00,35.0,33.8,0.0,normal,AP_B02_01,8,13.7,0.01,21.0
2026-02-15 17:00:00+00:00,35.0,33.8,0.0,normal,AP_B02_02,4,10.6,0.0,21.4
2026-02-15 17:00:00+00:00,35.0,33.8,0.0,normal,AP_B06_01,30,47.8,0.08,25.2
2026-02-15 17:00:00+00:00,35.0,33.8,0.0,normal,AP_B03_02,18,28.2,0.03,25.8
2026-02-15 17:00:00+00:00,35.0,33.8,0.0,normal,AP_B03_01,8,16.2,0.01,18.6
2026-02-15 17:00:00+00:00,35.0,33.8,0.0,normal,AP_B07_01,23,39.4,0.05,24.2
2026-02-15 17:00:00+00:00,35.0,33.8,0.0,normal,AP_B04_02,132,198.9,1.55,57.8
2026-02-15 17:00:00+00:00,35.0,33.8,0.0,normal,AP_B01_01,12,21.8,0.01,19.1
2026-02-15 18:00:00+00:00,33.6,29.0,0.0,normal,AP_B01_01,0,4.6,0.0,17.1
2026-02-15 18:00:00+00:00,33.6,29.0,0.0,normal,AP_B04_02,139,213.0,1.72,60.3
2026-02-15 18:00:00+00:00,33.6,29.0,0.0,normal,AP_B02_01,3,5.8,0.0,15.0
2026-02-15 18:00:00+00:00,33.6,29.0,0.0,normal,AP_B08_02,5,10.2,0.0,19.8
2026-02-15 18:00:00+00:00,33.6,29.0,0.0,normal,AP_B08_01,7,11.9,0.0,19.8
2026-02-15 18:00:00+00:00,33.6,29.0,0.0,normal,AP_B01_02,0,1.7,0.0,17.3
2026-02-15 18:00:00+00:00,33.6,29.0,0.0,normal,AP_B03_01,6,9.0,0.0,16.0
2026-02-15 18:00:00+00:00,33.6,29.0,0.0,normal,AP_B04_01,123,184.8,1.34,57.7
2026-02-15 18:00:00+00:00,33.6,29.0,0.0,normal,AP_B06_01,35,53.0,0.11,28.0
2026-02-15 18:00:00+00:00,33.6,29.0,0.0,normal,AP_B05_01,41,65.4,0.15,34.4
2026-02-15 18:00:00+00:00,33.6,29.0,0.0,normal,AP_B03_02,8,16.4,0.01,21.4
2026-02-15 18:00:00+00:00,33.6,29.0,0.0,normal,AP_B02_02,10,18.1,0.01,20.6
2026-02-15 18:00:00+00:00,33.6,29.0,0.0,normal,AP_B07_01,30,46.8,0.08,27.6
2026-02-15 19:00:00+00:00,31.7,64.3,3.6,normal,AP_B04_01,146,219.5,1.89,61.3
2026-02-15 19:00:00+00:00,31.7,64.3,3.6,normal,AP_B08_01,2,5.2,0.0,21.1
2026-02-15 19:00:00+00:00,31.7,64.3,3.6,normal,AP_B05_01,60,92.4,0.32,34.3
2026-02-15 19:00:00+00:00,31.7,64.3,3.6,normal,AP_B02_02,0,2.5,0.0,19.8
2026-02-15 19:00:00+00:00,31.7,64.3,3.6,normal,AP_B01_02,1,5.4,0.0,19.6
2026-02-15 19:00:00+00:00,31.7,64.3,3.6,normal,AP_B04_02,141,215.3,1.77,62.2
2026-02-15 19:00:00+00:00,31.7,64.3,3.6,normal,AP_B02_01,7,14.8,0.0,19.3
2026-02-15 19:00:00+00:00,31.7,64.3,3.6,normal,AP_B03_01,1,1.8,0.0,16.5
2026-02-15 19:00:00+00:00,31.7,64.3,3.6,normal,AP_B06_01,62,96.6,0.34,34.6
2026-02-15 19:00:00+00:00,31.7,64.3,3.6,normal,AP_B07_01,61,94.3,0.33,38.0
2026-02-15 19:00:00+00:00,31.7,64.3,3.6,normal,AP_B03_02,2,7.9,0.0,18.0
2026-02-15 19:00:00+00:00,31.7,64.3,3.6,normal,AP_B08_02,4,7.1,0.0,18.2
2026-02-15 19:00:00+00:00,31.7,64.3,3.6,normal,AP_B01_01,4,9.5,0.0,17.8
2026-02-15 20:00:00+00:00,31.3,43.6,0.0,normal,AP_B02_02,0,2.0,0.0,19.6
2026-02-15 20:00:00+00:00,31.3,43.6,0.0,normal,AP_B04_01,134,201.1,1.6,58.9
2026-02-15 20:00:00+00:00,31.3,43.6,0.0,normal,AP_B02_01,7,12.6,0.0,23.8
2026-02-15 20:00:00+00:00,31.3,43.6,0.0,normal,AP_B07_01,90,136.0,0.72,46.6
2026-02-15 20:00:00+00:00,31.3,43.6,0.0,normal,AP_B05_01,84,127.7,0.63,43.9
2026-02-15 20:00:00+00:00,31.3,43.6,0.0,normal,AP_B04_02,126,190.4,1.41,51.3
2026-02-15 20:00:00+00:00,31.3,43.6,0.0,normal,AP_B03_02,0,4.4,0.0,18.6
2026-02-15 20:00:00+00:00,31.3,43.6,0.0,normal,AP_B08_01,5,11.9,0.0,17.2
2026-02-15 20:00:00+00:00,31.3,43.6,0.0,normal,AP_B08_02,0,0.3,0.0,20.2
2026-02-15 20:00:00+00:00,31.3,43.6,0.0,normal,AP_B06_01,78,119.2,0.54,43.7
2026-02-15 20:00:00+00:00,31.3,43.6,0.0,normal,AP_B01_02,0,4.1,0.0,20.3
2026-02-15 20:00:00+00:00,31.3,43.6,0.0,normal,AP_B03_01,0,1.6,0.0,16.7
2026-02-15 21:00:00+00:00,29.1,48.2,0.0,normal,AP_B02_01,6,12.7,0.0,20.8
2026-02-15 21:00:00+00:00,29.1,48.2,0.0,normal,AP_B08_02,2,4.6,0.0,21.2
2026-02-15 21:00:00+00:00,29.1,48.2,0.0,normal,AP_B05_01,109,167.9,1.06,48.4
2026-02-15 21:00:00+00:00,29.1,48.2,0.0,normal,AP_B03_02,0,0.6,0.0,17.7
2026-02-15 21:00:00+00:00,29.1,48.2,0.0,normal,AP_B02_02,0,0.3,0.0,16.7
2026-02-15 21:00:00+00:00,29.1,48.2,0.0,normal,AP_B07_01,109,168.4,1.06,48.0
2026-02-15 21:00:00+00:00,29.1,48.2,0.0,normal,AP_B01_02,1,3.7,0.0,18.2
2026-02-15 21:00:00+00:00,29.1,48.2,0.0,normal,AP_B04_02,105,158.4,0.98,50.1
2026-02-15 21:00:00+00:00,29.1,48.2,0.0,normal,AP_B01_01,0,2.0,0.0,15.3
2026-02-15 21:00:00+00:00,29.1,48.2,0.0,normal,AP_B04_01,114,173.8,1.16,52.0
2026-02-15 21:00:00+00:00,29.1,48.2,0.0,normal,AP_B06_01,115,176.4,1.18,55.0
2026-02-15 21:00:00+00:00,29.1,48.2,0.0,normal,AP_B03_01,0,1.6,0.0,19.2
2026-02-15 21:00:00+00:00,29.1,48.2,0.0,normal,AP_B08_01,11,18.2,0.01,22.4
2026-02-15 22:00:00+00:00,27.6,65.5,5.8,normal,AP_B04_01,89,137.2,0.7,43.5
2026-02-15 22:00:00+00:00,27.6,65.5,5.8,normal,AP_B02_02,0,2.7,0.0,17.5
2026-02-15 22:00:00+00:00,27.6,65.5,5.8,normal,AP_B07_01,122,187.0,1.32,49.3
2026-02-15 22:00:00+00:00,27.6,65.5,5.8,normal,AP_B06_01,115,177.3,1.18,49.9
2026-02-15 22:00:00+00:00,27.6,65.5,5.8,normal,AP_B03_02,12,22.5,0.01,20.1
2026-02-15 22:00:00+00:00,27.6,65.5,5.8,normal,AP_B01_01,2,6.7,0.0,17.7
2026-02-15 22:00:00+00:00,27.6,65.5,5.8,normal,AP_B08_02,5,8.5,0.0,19.3
2026-02-15 22:00:00+00:00,27.6,65.5,5.8,normal,AP_B02_01,0,0.8,0.0,18.6
2026-02-15 22:00:00+00:00,27.6,65.5,5.8,normal,AP_B03_01,7,15.4,0.0,22.2
2026-02-15 22:00:00+00:00,27.6,65.5,5.8,normal,AP_B08_01,5,9.7,0.0,22.0
2026-02-15 22:00:00+00:00,27.6,65.5,5.8,normal,AP_B04_02,83,129.0,0.61,41.2
2026-02-15 22:00:00+00:00,27.6,65.5,5.8,normal,AP_B01_02,0,0.8,0.0,17.4
2026-02-15 22:00:00+00:00,27.6,65.5,5.8,normal,AP_B05_01,125,188.0,1.39,57.1
2026-02-15 23:00:00+00:00,27.0,48.6,0.0,normal,AP_B06_01,113,172.6,1.14,50.9
2026-02-15 23:00:00+00:00,27.0,48.6,0.0,normal,AP_B03_01,9,15.4,0.01,21.3
2026-02-15 23:00:00+00:00,27.0,48.6,0.0,normal,AP_B08_01,0,3.3,0.0,19.5
2026-02-15 23:00:00+00:00,27.0,48.6,0.0,normal,AP_B02_01,2,7.1,0.0,21.5
2026-02-15 23:00:00+00:00,27.0,48.6,0.0,normal,AP_B02_02,0,4.5,0.0,17.4
2026-02-15 23:00:00+00:00,27.0,48.6,0.0,normal,AP_B03_02,5,9.6,0.0,20.5
2026-02-15 23:00:00+00:00,27.0,48.6,0.0,normal,AP_B07_01,106,160.7,1.0,46.0
2026-02-15 23:00:00+00:00,27.0,48.6,0.0,normal,AP_B04_01,66,102.0,0.39,35.2
2026-02-15 23:00:00+00:00,27.0,48.6,0.0,normal,AP_B05_01,116,178.2,1.2,52.5
2026-02-15 23:00:00+00:00,27.0,48.6,0.0,normal,AP_B01_01,1,5.1,0.0,20.7
2026-02-15 23:00:00+00:00,27.0,48.6,0.0,normal,AP_B08_02,1,4.6,0.0,17.8
2026-02-15 23:00:00+00:00,27.0,48.6,0.0,normal,AP_B01_02,3,7.3,0.0,19.8
2026-02-15 23:00:00+00:00,27.0,48.6,0.0,normal,AP_B04_02,67,100.8,0.4,39.7
2026-02-16 00:00:00+00:00,27.1,49.3,0.0,normal,AP_B04_01,0,1.9,0.0,17.1
2026-02-16 00:00:00+00:00,27.1,49.3,0.0,normal,AP_B03_02,9,17.0,0.01,17.3
2026-02-16 00:00:00+00:00,27.1,49.3,0.0,normal,AP_B02_01,4,8.6,0.0,16.8
2026-02-16 00:00:00+00:00,27.1,49.3,0.0,normal,AP_B04_02,10,15.8,0.01,21.5
2026-02-16 00:00:00+00:00,27.1,49.3,0.0,normal,AP_B03_01,3,6.6,0.0,16.4
2026-02-16 00:00:00+00:00,27.1,49.3,0.0,normal,AP_B06_01,18,29.6,0.03,21.1
2026-02-16 00:00:00+00:00,27.1,49.3,0.0,normal,AP_B01_02,6,12.1,0.0,19.4
2026-02-16 00:00:00+00:00,27.1,49.3,0.0,normal,AP_B05_01,20,30.0,0.04,24.6
2026-02-16 00:00:00+00:00,27.1,49.3,0.0,normal,AP_B08_01,1,2.7,0.0,22.1
2026-02-16 00:00:00+00:00,27.1,49.3,0.0,normal,AP_B02_02,13,24.0,0.02,24.7
2026-02-16 00:00:00+00:00,27.1,49.3,0.0,normal,AP_B08_02,3,7.3,0.0,20.4
2026-02-16 00:00:00+00:00,27.1,49.3,0.0,normal,AP_B01_01,10,16.7,0.01,19.3
2026-02-16 00:00:00+00:00,27.1,49.3,0.0,normal,AP_B07_01,18,30.7,0.03,19.8
2026-02-16 01:00:00+00:00,27.1,51.4,0.0,normal,AP_B06_01,14,22.3,0.02,20.9
2026-02-16 01:00:00+00:00,27.1,51.4,0.0,normal,AP_B02_02,7,14.9,0.0,20.7
2026-02-16 01:00:00+00:00,27.1,51.4,0.0,normal,AP_B01_02,10,16.7,0.01,20.7
2026-02-16 01:00:00+00:00,27.1,51.4,0.0,normal,AP_B04_01,0,2.8,0.0,16.8
2026-02-16 01:00:00+00:00,27.1,51.4,0.0,normal,AP_B07_01,19,30.1,0.03,25.9
2026-02-16 01:00:00+00:00,27.1,51.4,0.0,normal,AP_B02_01,7,15.5,0.0,21.5
2026-02-16 01:00:00+00:00,27.1,51.4,0.0,normal,AP_B03_02,0,1.8,0.0,18.9
2026-02-16 01:00:00+00:00,27.1,51.4,0.0,normal,AP_B05_01,18,30.5,0.03,22.7
2026-02-16 01:00:00+00:00,27.1,51.4,0.0,normal,AP_B03_01,13,21.5,0.02,20.5
2026-02-16 01:00:00+00:00,27.1,51.4,0.0,normal,AP_B08_01,8,12.3,0.01,21.9
2026-02-16 01:00:00+00:00,27.1,51.4,0.0,normal,AP_B01_01,4,9.9,0.0,15.2
2026-02-16 01:00:00+00:00,27.1,51.4,0.0,normal,AP_B08_02,4,8.4,0.0,18.9
2026-02-16 01:00:00+00:00,27.1,51.4,0.0,normal,AP_B04_02,0,3.7,0.0,20.0
2026-02-16 02:00:00+00:00,25.3,57.5,0.0,normal,AP_B06_01,29,45.8,0.07,28.3
2026-02-16 02:00:00+00:00,25.3,57.5,0.0,normal,AP_B08_01,0,1.6,0.0,18.0
2026-02-16 02:00:00+00:00,25.3,57.5,0.0,normal,AP_B04_02,3,7.1,0.0,21.1
2026-02-16 02:00:00+00:00,25.3,57.5,0.0,normal,AP_B01_02,9,14.3,0.01,23.2
2026-02-16 02:00:00+00:00,25.3,57.5,0.0,normal,AP_B07_01,19,32.4,0.03,25.0
2026-02-16 02:00:00+00:00,25.3,57.5,0.0,normal,AP_B05_01,18,27.8,0.03,23.3
2026-02-16 02:00:00+00:00,25.3,57.5,0.0,normal,AP_B04_01,0,0.0,0.0,18.2
2026-02-16 02:00:00+00:00,25.3,57.5,0.0,normal,AP_B08_02,1,2.7,0.0,19.7
2026-02-16 02:00:00+00:00,25.3,57.5,0.0,normal,AP_B02_02,6,12.5,0.0,19.7
2026-02-16 02:00:00+00:00,25.3,57.5,0.0,normal,AP_B01_01,1,2.2,0.0,19.7
2026-02-16 02:00:00+00:00,25.3,57.5,0.0,normal,AP_B03_01,18,29.0,0.03,25.5
2026-02-16 02:00:00+00:00,25.3,57.5,0.0,normal,AP_B03_02,3,8.9,0.0,18.8
2026-02-16 02:00:00+00:00,25.3,57.5,0.0,normal,AP_B02_01,5,8.8,0.0,17.8
2026-02-16 03:00:00+00:00,31.6,48.6,0.0,normal,AP_B08_02,10,18.7,0.01,19.8
2026-02-16 03:00:00+00:00,31.6,48.6,0.0,normal,AP_B03_01,5,8.3,0.0,18.5
2026-02-16 03:00:00+00:00,31.6,48.6,0.0,normal,AP_B01_02,3,8.1,0.0,19.4
2026-02-16 03:00:00+00:00,31.6,48.6,0.0,normal,AP_B03_02,13,20.4,0.02,22.1
2026-02-16 03:00:00+00:00,31.6,48.6,0.0,normal,AP_B02_01,1,2.0,0.0,19.1
2026-02-16 03:00:00+00:00,31.6,48.6,0.0,normal,AP_B07_01,24,40.3,0.05,22.7
2026-02-16 03:00:00+00:00,31.6,48.6,0.0,normal,AP_B08_01,0,2.3,0.0,17.4
2026-02-16 03:00:00+00:00,31.6,48.6,0.0,normal,AP_B05_01,28,45.7,0.07,24.3
2026-02-16 03:00:00+00:00,31.6,48.6,0.0,normal,AP_B01_01,4,8.7,0.0,15.3
2026-02-16 03:00:00+00:00,31.6,48.6,0.0,normal,AP_B02_02,0,3.4,0.0,15.0
2026-02-16 03:00:00+00:00,31.6,48.6,0.0,normal,AP_B06_01,23,39.0,0.05,25.2
2026-02-16 03:00:00+00:00,31.6,48.6,0.0,normal,AP_B04_01,0,1.2,0.0,15.0
2026-02-16 03:00:00+00:00,31.6,48.6,0.0,normal,AP_B04_02,2,7.7,0.0,19.4
2026-02-16 04:00:00+00:00,28.2,52.1,0.0,normal,AP_B08_01,4,7.2,0.0,22.7
2026-02-16 04:00:00+00:00,28.2,52.1,0.0,normal,AP_B06_01,25,40.5,0.06,25.5
2026-02-16 04:00:00+00:00,28.2,52.1,0.0,normal,AP_B05_01,30,45.2,0.08,24.7
2026-02-16 04:00:00+00:00,28.2,52.1,0.0,normal,AP_B03_01,2,7.4,0.0,19.8
2026-02-16 04:00:00+00:00,28.2,52.1,0.0,normal,AP_B02_02,12,18.7,0.01,20.7
2026-02-16 04:00:00+00:00,28.2,52.1,0.0,normal,AP_B04_01,0,0.4,0.0,15.3
2026-02-16 04:00:00+00:00,28.2,52.1,0.0,normal,AP_B02_01,0,4.1,0.0,16.6
2026-02-16 04:00:00+00:00,28.2,52.1,0.0,normal,AP_B01_01,16,26.1,0.02,21.2
2026-02-16 04:00:00+00:00,28.2,52.1,0.0,normal,AP_B07_01,35,56.2,0.11,29.7
2026-02-16 04:00:00+00:00,28.2,52.1,0.0,normal,AP_B08_02,2,7.5,0.0,16.9
2026-02-16 04:00:00+00:00,28.2,52.1,0.0,normal,AP_B04_02,0,4.6,0.0,15.2
2026-02-16 04:00:00+00:00,28.2,52.1,0.0,normal,AP_B01_02,7,13.9,0.0,22.9
2026-02-16 04:00:00+00:00,28.2,52.1,0.0,normal,AP_B03_02,10,16.1,0.01,21.2
2026-02-16 05:00:00+00:00,26.9,61.3,1.6,normal,AP_B05_01,36,57.5,0.12,26.9
2026-02-16 05:00:00+00:00,26.9,61.3,1.6,normal,AP_B06_01,36,56.8,0.12,31.5
2026-02-16 05:00:00+00:00,26.9,61.3,1.6,normal,AP_B07_01,50,75.4,0.22,32.5
2026-02-16 05:00:00+00:00,26.9,61.3,1.6,normal,AP_B08_02,4,6.7,0.0,20.3
2026-02-16 05:00:00+00:00,26.9,61.3,1.6,normal,AP_B04_01,0,0.5,0.0,15.3
2026-02-16 05:00:00+00:00,26.9,61.3,1.6,normal,AP_B02_02,9,14.3,0.01,21.8
2026-02-16 05:00:00+00:00,26.9,61.3,1.6,normal,AP_B08_01,19,33.2,0.03,20.5
2026-02-16 05:00:00+00:00,26.9,61.3,1.6,normal,AP_B03_02,5,9.4,0.0,16.3
2026-02-16 05:00:00+00:00,26.9,61.3,1.6,normal,AP_B04_02,0,4.7,0.0,15.0
2026-02-16 05:00:00+00:00,26.9,61.3,1.6,normal,AP_B03_01,14,25.9,0.02,21.8
2026-02-16 05:00:00+00:00,26.9,61.3,1.6,normal,AP_B02_01,12,20.5,0.01,24.2
2026-02-16 05:00:00+00:00,26.9,61.3,1.6,normal,AP_B01_02,12,18.0,0.01,19.9
2026-02-16 05:00:00+00:00,26.9,61.3,1.6,normal,AP_B01_01,17,26.9,0.03,26.2
